TF,Encoding,Shape,R2
Max,1-mer,,0.785116920847774
Max,2-mer,,0.8654782965335652
Max,1-mer+shape,all,0.9277220289893966
Max,1-mer+shape,MGW,0.8393304709918933
Max,1-mer+shape,ProT,0.8396692629661071
Max,1-mer+shape,Roll,0.8966887211186538
Max,1-mer+shape,HelT,0.8753025447340539
Mad,1-mer,,0.7736268409500175
Mad,2-mer,,0.8555066956801355
Mad,1-mer+shape,all,0.9492414427969083
Mad,1-mer+shape,MGW,0.8519556359937885
Mad,1-mer+shape,ProT,0.8337964285463798
Mad,1-mer+shape,Roll,0.9199686648228005
Mad,1-mer+shape,HelT,0.887405232268148
Myc,1-mer,,0.7775711502865678
Myc,2-mer,,0.8333382256636375
Myc,1-mer+shape,all,0.9123084804128366
Myc,1-mer+shape,MGW,0.8323815496096568
Myc,1-mer+shape,ProT,0.8161189046800915
Myc,1-mer+shape,Roll,0.890271987440852
Myc,1-mer+shape,HelT,0.8609712906351584
